LDA_n_topics,learning_rate_init,hidden_layer_1_size,hidden_layer_2_size,alpha,max_n_gram,early_stopping,validation_fraction,max_features,avg_accuracy
47,0.003908241806409595,246,23,0.00030514753047956243,1,True,0.0761780938079376,9852,0.8360498432987017
76,0.008029619615431695,551,37,0.0006993785415167065,1,True,0.2308074236295809,9057,0.8257299849409027
181,0.003792905136544034,585,11,0.0008828481163805409,1,True,0.14625654963002377,7315,0.8247619140728748
196,0.006474469798535679,214,37,0.0006343198067789718,1,True,0.08973234562967512,5071,0.8205734188843884
140,0.0054337327179359435,746,33,0.0002473900520700643,1,False,0.25961606889275085,7229,0.8141891306621929
80,0.0023007048060281676,586,19,0.0004017971227490849,1,True,0.06260150313108905,3324,0.8108185259812609
148,0.005635542881613791,199,21,0.0005277010947884162,1,True,0.18287163665464273,3914,0.8102042477669616
70,0.004963212966719837,756,10,0.0006058440759635519,1,False,0.11220269737011347,8350,0.8097442169448575
81,0.007846318190136706,65,26,0.0006021583636780361,3,True,0.1914061480625348,7573,0.8091316072563928
68,0.0028416470144397308,517,12,0.0009556265315386963,1,False,0.07183478290141156,6495,0.8079560656291175
93,0.007230520382784842,55,38,0.0007131277710977539,1,True,0.2687845769063425,3308,0.8063730908496023
31,0.009560991500467316,855,15,0.0006332144398712785,1,False,0.17284073698221897,7761,0.8056573193372693
64,0.006436729335722921,154,18,0.0007755230695406957,1,False,0.13709454717240405,7306,0.8045367217443135
195,0.0033070825450852953,770,18,0.0005127661314720956,2,False,0.2599073198821374,8193,0.8025948965921337
36,0.0089617601112124,953,28,0.000266127279560462,3,True,0.2259889462990105,7806,0.8023373309517734
48,0.00660648659916825,992,21,0.000734131320243724,2,True,0.1475646685580168,5632,0.801879959342718
154,0.001021202466303495,151,27,0.0007974830529696345,3,True,0.07786229454938882,4291,0.801369625073772
142,0.0028813902755393606,728,39,0.0003496601119757141,3,True,0.20179388965525447,6634,0.7996317772048738
156,0.005703011994157962,576,26,0.0005005081444276124,1,False,0.11406049276634757,3357,0.7987121848335564
104,0.007963948189578171,627,8,0.0005023007923593148,3,True,0.2829061621534346,7269,0.7966697527876928
136,0.007379145089099542,505,26,0.00014509208562596716,3,False,0.1932113693082177,6572,0.7965696673083322
18,0.005024121950038,542,16,0.0001418588532527782,2,False,0.2831397059441497,5942,0.7965162875169826
197,0.007311595678116151,949,28,0.000287971720669638,2,True,0.24694056150450722,5501,0.7953421537083802
141,0.009328996085469722,316,21,0.0006680900959548012,1,False,0.07476244468724207,3820,0.7949334691617647
62,0.0028917144067116328,376,26,0.0006022526521298096,2,False,0.25489520145400774,6381,0.791561352379295
112,0.0014681783482597673,641,25,0.0007505922097704074,2,False,0.0716543072142289,9642,0.7915084940022687
174,0.004409021545748561,408,8,0.0009437993144811079,3,False,0.14904458393413839,5694,0.7896213000358147
152,0.008454978631189361,673,38,0.0004573583838825908,1,True,0.16007484178116677,2736,0.7892633882089319
159,0.005183883616450498,877,4,0.0008322257749705521,2,False,0.09326432652766152,7523,0.7891612692137105
177,0.003239367900525648,463,4,0.0003327920083342447,2,True,0.20352293950898853,3839,0.789111070049733
24,0.0036179949129910276,148,22,0.00011347629064119287,1,False,0.1624473061831061,6045,0.7862980267400819
199,0.004616035337399787,845,24,0.00047675922988817126,3,False,0.26812331917340415,4450,0.7860971258013079
199,0.008262531666152841,488,31,0.0009939976430850513,3,False,0.10325517778865913,8004,0.7846662084738301
37,0.004761896452524542,492,6,0.000630531216054104,2,True,0.28256496437693035,4351,0.7830856843416345
132,0.008960001231028443,897,17,0.0002924004642025345,2,False,0.15768563292614174,3983,0.7796588320905748
178,0.007242377624781535,209,6,0.00017161714593560924,2,True,0.2586279649258236,3401,0.7763425978882068
146,0.00297947466323114,88,25,0.0009393331744316402,3,False,0.08556996091351814,8611,0.775880429267377
178,0.004508538313654732,311,2,0.00026990890144651343,1,True,0.20991924596968498,2031,0.7738383100701074
189,0.004115556721452694,289,10,0.0005657049437189923,2,False,0.1627645148779575,4107,0.77092684980693
81,0.006368744410605511,568,17,0.00032477472389606603,3,False,0.1529481981336499,3444,0.7693431450473623
24,0.0025593802916853985,486,33,0.0007951636014360585,1,False,0.13846939077496018,2176,0.7689365982994725
71,0.006935600201475369,666,11,0.0007375224358113539,2,True,0.12336828407650528,2135,0.759843262854411
181,0.0073028696621139574,639,2,0.0004212288559660709,3,False,0.258699039579331,2530,0.757854367024194
49,0.00043250030160653347,298,2,0.0007630499764151124,2,True,0.2998681948098812,1677,0.7570365807995042
113,0.004224317849030983,944,4,0.0003713229270489721,1,True,0.24930886345116104,1395,0.7559113426190708
133,0.0016476471579509307,744,13,0.0007017317753694817,1,False,0.29178533923308625,1405,0.7551417741839297
175,0.00734993674996718,590,36,0.0005883561362382095,1,False,0.23635460893803562,1576,0.7507522737738046
80,0.0069621614695952894,524,6,0.00037750534534486494,2,True,0.13386073181699437,1294,0.7414580895314018
164,0.00968640005726019,135,30,0.00033731612622254435,2,True,0.27781820255534306,1566,0.7383433298235631
110,0.0013148828979467342,123,11,0.00019590922827044817,2,False,0.12077205751650961,1133,0.7320093450482097
